sample_index,sample_id,target_mass_kg,target_mass_index,action_id,action_amplitude,red_displacement_px,red_visible_fraction,blue_visible_fraction,red_final_margin_px,blue_final_margin_px,red_offscreen,blue_offscreen,strict_both_visible,displacement_class,selection_score
100,mass_collision_noleak:ep000100:frames0000-0060,0.1742944349721352,19,3,0.56,nan,0.7704918032786885,1.0,1.1372549019607732,41.57396449704143,True,False,False,outside_informative_band,nan
106,mass_collision_noleak:ep000106:frames0000-0060,0.09233397390639964,13,3,0.56,nan,0.5409836065573771,0.9016393442622951,1.5,0.3846153846153868,True,True,False,outside_informative_band,nan
109,mass_collision_noleak:ep000109:frames0000-0060,0.075892716,10,3,0.56,nan,0.5081967213114754,0.7704918032786885,1.5,0.6666666666666572,True,True,False,outside_informative_band,nan
120,mass_collision_noleak:ep000120:frames0000-0060,2.0,29,4,0.6,3.9605477329595917,1.0,1.0,92.53953488372093,110.26114649681529,False,False,True,outside_informative_band,121.03945226704042
121,mass_collision_noleak:ep000121:frames0000-0060,0.9129817872407724,28,4,0.6,13.142911544300567,1.0,1.0,83.35714285714286,108.96470588235294,False,False,True,outside_informative_band,111.85708845569943
123,mass_collision_noleak:ep000123:frames0000-0060,0.509433585,26,4,0.6,32.12288789290096,1.0,1.0,64.37919463087249,98.32,False,False,True,inside_informative_band,10.377112107099038
125,mass_collision_noleak:ep000125:frames0000-0060,0.36666105396263127,24,4,0.6,54.97040451618801,1.0,1.0,41.531335149863764,90.30555555555554,False,False,True,inside_informative_band,12.470404516188012
126,mass_collision_noleak:ep000126:frames0000-0060,0.302980968,23,4,0.6,69.31515927407446,1.0,1.0,27.185882352941178,79.88793103448276,False,False,True,outside_informative_band,109.31515927407446
127,mass_collision_noleak:ep000127:frames0000-0060,0.2567309741554602,22,4,0.6,87.8914558285948,1.0,1.0,8.486301369863014,74.64092664092664,False,False,False,outside_informative_band,127.8914558285948
129,mass_collision_noleak:ep000129:frames0000-0060,0.206122244,20,4,0.6,nan,0.819672131147541,1.0,0.423076923076934,60.349315068493155,True,False,False,outside_informative_band,nan
130,mass_collision_noleak:ep000130:frames0000-0060,0.1742944349721352,19,4,0.6,nan,0.7049180327868853,1.0,1.1929824561403564,43.61538461538461,True,False,False,outside_informative_band,nan
136,mass_collision_noleak:ep000136:frames0000-0060,0.09233397390639964,13,4,0.6,nan,0.4918032786885246,0.9344262295081968,2.430107526881727,0.46666666666666856,True,True,False,outside_informative_band,nan
139,mass_collision_noleak:ep000139:frames0000-0060,0.075892716,10,4,0.6,nan,0.47540983606557374,0.7868852459016393,0.5,0.46666666666666856,True,True,False,outside_informative_band,nan
150,mass_collision_noleak:ep000150:frames0000-0060,2.0,29,5,0.68,4.0,1.0,1.0,92.5,110.53892215568862,False,False,True,outside_informative_band,121.0
151,mass_collision_noleak:ep000151:frames0000-0060,0.9129817872407724,28,5,0.68,17.0,1.0,1.0,79.5,107.24157303370787,False,False,True,outside_informative_band,108.0
153,mass_collision_noleak:ep000153:frames0000-0060,0.509433585,26,5,0.68,44.7250388659697,1.0,1.0,51.78125,96.1734693877551,False,False,True,inside_informative_band,2.225038865969701
155,mass_collision_noleak:ep000155:frames0000-0060,0.36666105396263127,24,5,0.68,74.42747257917765,1.0,1.0,22.07300884955751,82.27631578947367,False,False,True,outside_informative_band,114.42747257917765
156,mass_collision_noleak:ep000156:frames0000-0060,0.302980968,23,5,0.68,90.08376293827804,1.0,1.0,6.416289592760194,70.34408602150538,False,False,False,outside_informative_band,130.08376293827803
157,mass_collision_noleak:ep000157:frames0000-0060,0.2567309741554602,22,5,0.68,nan,0.8032786885245902,1.0,0.5,57.60714285714286,True,False,False,outside_informative_band,nan
159,mass_collision_noleak:ep000159:frames0000-0060,0.206122244,20,5,0.68,nan,0.7049180327868853,1.0,0.48387096774192173,25.396751740139223,True,False,False,outside_informative_band,nan
160,mass_collision_noleak:ep000160:frames0000-0060,0.1742944349721352,19,5,0.68,nan,0.6229508196721312,1.0,0.2857142857142776,9.5,True,False,False,outside_informative_band,nan
166,mass_collision_noleak:ep000166:frames0000-0060,0.09233397390639964,13,5,0.68,nan,0.45901639344262296,0.639344262295082,2.5,1.5,True,True,False,outside_informative_band,nan
169,mass_collision_noleak:ep000169:frames0000-0060,0.075892716,10,5,0.68,nan,0.4426229508196721,0.5901639344262295,1.4516129032257936,1.5,True,True,False,outside_informative_band,nan
180,mass_collision_noleak:ep000180:frames0000-0060,2.0,29,6,0.85,4.460418229785926,1.0,1.0,92.03964757709252,108.36305732484077,False,False,True,outside_informative_band,120.53958177021407
181,mass_collision_noleak:ep000181:frames0000-0060,0.9129817872407724,28,6,0.85,17.586630037591412,1.0,1.0,78.91338582677164,98.28717948717949,False,False,True,outside_informative_band,107.41336996240858
183,mass_collision_noleak:ep000183:frames0000-0060,0.509433585,26,6,0.85,50.343327616481254,1.0,1.0,46.15945945945947,81.012,False,False,True,inside_informative_band,7.843327616481254
185,mass_collision_noleak:ep000185:frames0000-0060,0.36666105396263127,24,6,0.85,83.14786840760722,1.0,1.0,13.352144469525967,57.99664429530202,False,False,False,outside_informative_band,123.14786840760722
186,mass_collision_noleak:ep000186:frames0000-0060,0.302980968,23,6,0.85,96.1516892186973,0.9508196721311475,1.0,0.22222222222222854,38.46814404432132,True,False,False,outside_informative_band,136.1516892186973
187,mass_collision_noleak:ep000187:frames0000-0060,0.2567309741554602,22,6,0.85,nan,0.7049180327868853,1.0,0.5,17.353741496598644,True,False,False,outside_informative_band,nan
189,mass_collision_noleak:ep000189:frames0000-0060,0.206122244,20,6,0.85,nan,0.5901639344262295,0.9672131147540983,0.0,0.4615384615384528,True,True,False,outside_informative_band,nan
190,mass_collision_noleak:ep000190:frames0000-0060,0.1742944349721352,19,6,0.85,nan,0.5245901639344263,0.7540983606557377,1.4516129032257936,0.8499999999999943,True,True,False,outside_informative_band,nan
196,mass_collision_noleak:ep000196:frames0000-0060,0.09233397390639964,13,6,0.85,nan,0.4098360655737705,0.5245901639344263,2.4468085106383057,1.3793103448275872,True,True,False,outside_informative_band,nan
199,mass_collision_noleak:ep000199:frames0000-0060,0.075892716,10,6,0.85,nan,0.39344262295081966,0.4918032786885246,1.5,1.4516129032257936,True,True,False,outside_informative_band,nan
210,mass_collision_noleak:ep000210:frames0000-0060,2.0,29,7,0.9,5.956257297843152,1.0,1.0,90.54377880184333,109.28089887640449,False,False,True,outside_informative_band,119.04374270215685
211,mass_collision_noleak:ep000211:frames0000-0060,0.9129817872407724,28,7,0.9,21.0,1.0,1.0,75.5,98.20725388601036,False,False,True,outside_informative_band,104.0
213,mass_collision_noleak:ep000213:frames0000-0060,0.509433585,26,7,0.9,58.38493721767014,1.0,1.0,38.116883116883116,77.38888888888889,False,False,True,inside_informative_band,15.884937217670142
215,mass_collision_noleak:ep000215:frames0000-0060,0.36666105396263127,24,7,0.9,88.08599721584235,1.0,1.0,8.414035087719299,47.078616352201266,False,False,False,outside_informative_band,128.08599721584235
216,mass_collision_noleak:ep000216:frames0000-0060,0.302980968,23,7,0.9,nan,0.7868852459016393,1.0,0.318181818181813,23.011520737327203,True,False,False,outside_informative_band,nan
217,mass_collision_noleak:ep000217:frames0000-0060,0.2567309741554602,22,7,0.9,nan,0.6065573770491803,1.0,1.4426229508196684,11.032786885245912,True,False,False,outside_informative_band,nan
219,mass_collision_noleak:ep000219:frames0000-0060,0.206122244,20,7,0.9,nan,0.5409836065573771,0.7704918032786885,1.4426229508196684,1.2307692307692264,True,True,False,outside_informative_band,nan
220,mass_collision_noleak:ep000220:frames0000-0060,0.1742944349721352,19,7,0.9,nan,0.4918032786885246,0.6721311475409836,1.4516129032257936,0.4285714285714164,True,True,False,outside_informative_band,nan
226,mass_collision_noleak:ep000226:frames0000-0060,0.09233397390639964,13,7,0.9,nan,0.39344262295081966,0.4918032786885246,0.5,0.5,True,True,False,outside_informative_band,nan
229,mass_collision_noleak:ep000229:frames0000-0060,0.075892716,10,7,0.9,nan,0.3770491803278688,0.45901639344262296,0.0,1.4333333333333371,True,True,False,outside_informative_band,nan
240,mass_collision_noleak:ep000240:frames0000-0060,2.0,29,8,1.0,6.0,1.0,1.0,90.5,106.34437086092716,False,False,True,outside_informative_band,119.0
241,mass_collision_noleak:ep000241:frames0000-0060,0.9129817872407724,28,8,1.0,24.903916556106328,1.0,1.0,71.59677419354838,92.00970873786409,False,False,True,outside_informative_band,100.09608344389368
243,mass_collision_noleak:ep000243:frames0000-0060,0.509433585,26,8,1.0,67.08728173986991,1.0,1.0,29.41314553990611,57.379999999999995,False,False,True,outside_informative_band,107.08728173986991
245,mass_collision_noleak:ep000245:frames0000-0060,0.36666105396263127,24,8,1.0,nan,0.8852459016393442,1.0,0.48387096774192173,16.995327102803742,True,False,False,outside_informative_band,nan
246,mass_collision_noleak:ep000246:frames0000-0060,0.302980968,23,8,1.0,nan,0.6557377049180327,1.0,0.5,0.5,True,False,False,outside_informative_band,nan
247,mass_collision_noleak:ep000247:frames0000-0060,0.2567309741554602,22,8,1.0,nan,0.5573770491803278,0.7377049180327869,1.5,1.0,True,True,False,outside_informative_band,nan
249,mass_collision_noleak:ep000249:frames0000-0060,0.206122244,20,8,1.0,nan,0.4918032786885246,0.6065573770491803,0.5,1.5,True,True,False,outside_informative_band,nan
250,mass_collision_noleak:ep000250:frames0000-0060,0.1742944349721352,19,8,1.0,nan,0.4426229508196721,0.5409836065573771,2.1566265060240823,2.5,True,True,False,outside_informative_band,nan
256,mass_collision_noleak:ep000256:frames0000-0060,0.09233397390639964,13,8,1.0,nan,0.36065573770491804,0.4262295081967213,0.5454545454545325,1.4333333333333371,True,True,False,outside_informative_band,nan
259,mass_collision_noleak:ep000259:frames0000-0060,0.075892716,10,8,1.0,nan,0.3442622950819672,0.39344262295081966,0.7837837837837753,3.8405797101449366,True,True,False,outside_informative_band,nan
